Input_FID,FID_1,index,tile,confidence,diameter_k,res,lat,long,OBJECTID_2,OBJECTID,Shape_Leng,Unit,UnitDesc,SphArea_km,id,area,lat_1,Shape_Le_1,area_pol,Shape_Le_2,Shape_Area
"12","242522","203",tile_0039_1_40,0.91973100000,0.15235000000,5m,-0.02317228900,-176.80030070000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,3.94573000000,0.13174110489,0.00112302335
"665","352342","5317",tile_1879_38_30,0.99956500000,0.18814000000,5m,0.94283519300,-177.62781270000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,5.44174000000,0.16234902303,0.00154881284
"1121","352900","3498",tile_1339_27_40,0.25290100000,0.13111000000,5m,1.85834105000,-176.81099060000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,9.10108000000,0.20711579603,0.00259032615
"1223","353012","3053",tile_1187_24_38,0.40261200000,0.06994000000,5m,2.10415578600,-176.93167580000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,65.87370000000,0.63838797099,0.01874878346
"1222","353011","3043",tile_1183_24_34,0.86760000000,0.28553000000,5m,2.10210496400,-177.30421610000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,174.60500000000,0.93553570423,0.04969548426
"1089","352861","3615",tile_1378_28_29,0.63300100000,0.09933000000,5m,1.79363959600,-177.69013040000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,292.26300000000,1.20703067745,0.08318313343
"1058","352826","3735",tile_1432_29_33,0.99931600000,0.20468000000,5m,1.71862670800,-177.33958390000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,2.37325000000,0.11080156844,0.00067546839
"1055","352823","3753",tile_1437_29_38,0.98750800000,0.18215000000,5m,1.71514334600,-176.95633050000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,30.92770000000,0.39098143294,0.00880254668
"1069","352837","3771",tile_1443_29_44,0.99862600000,0.11988000000,5m,1.73154944500,-176.50345120000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,19.18760000000,0.28660451194,0.00546112794
"1071","352840","3644",tile_1397_28_48,0.71054100000,0.11547000000,5m,1.73638553600,-176.15500260000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,8.01362000000,0.18432776511,0.00228081439
"809","352530","4566",tile_1697_34_48,0.99274700000,0.14548000000,5m,1.32606764000,-176.13156890000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,20.90500000000,0.34134245974,0.00594992968
"799","352518","318",tile_0032_5_5,0.99599100000,0.76792000000,40m,1.29280852300,-177.35057530000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,13.90480000000,0.26112987568,0.00395753277
"804","352524","4547",tile_1677_34_28,0.20468200000,0.10901000000,5m,1.31802085500,-177.75184140000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,29.83050000000,0.46134863910,0.00849028682
"655","352330","5553",tile_1927_39_28,0.75807300000,0.15524000000,5m,0.92164603000,-177.74316940000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,2.15862000000,0.11748843291,0.00061438047
"614","352287","5592",tile_1933_39_34,0.22656100000,0.09754000000,5m,0.86824064100,-177.31467950000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,34.25730000000,0.40185692759,0.00975022934
"470","352122","6519",tile_2147_43_48,0.40478300000,0.13139000000,5m,0.56548334500,-176.15289740000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,38.59670000000,0.44824012530,0.01098527604
"445","352093","6819",tile_2192_44_43,0.99995500000,0.27747000000,5m,0.49785674500,-176.52959310000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,24.66850000000,0.43378991405,0.00702107301
"442","352090","6817",tile_2187_44_38,0.99749000000,0.28205000000,5m,0.49268008300,-176.99730270000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,109.13800000000,0.79889252523,0.03106247073
"458","352106","6500",tile_2132_43_33,0.72282100000,0.08865000000,5m,0.51997427100,-177.35089410000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,4.56594000000,0.14150649470,0.00129954631
"72","351705","7855",tile_2382_48_33,0.24475700000,0.12762000000,5m,0.11382104900,-177.34668830000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,2.86971000000,0.12814242271,0.00081676997
"94","351727","7874",tile_2387_48_38,0.89602200000,0.09210000000,5m,0.13203248100,-176.96106790000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,23.64660000000,0.30683757489,0.00673023018
"86","351719","7896",tile_2392_48_43,0.94658200000,0.07546000000,5m,0.12724572300,-176.53653620000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,10.60200000000,0.21021904346,0.00301750551
